"","study_ID","study","experiment","first_author","year","n_turbines","n_turbines_studied","total_capacity_study_turbines_kW","total_capacity_kW","capacity_class","turbine_type","max_diameter","n_blades","rpm","head","max_flow_rate_HPP","sampling_method","country","global_region","location","waterbody","MQ_waterbody","Lat","Long"
"224","Wunderlich_1985_Vertical_low","Wunderlich & Dilley (1985)","Vertical low","Wunderlich",1985,4,2,7400,14800,"LHP","Francis",NA,NA,NA,32.9,49.6,"net","US","North America","Elwha dam","Elwha River","42.6",48.0944863804646,-123.556911979984
"225","Wunderlich_1985_Vertical_mid","Wunderlich & Dilley (1985)","Vertical mid","Wunderlich",1985,4,2,7400,14800,"LHP","Francis",NA,NA,NA,32.9,49.6,"net","US","North America","Elwha dam","Elwha River","42.6",48.0944863804646,-123.556911979984
"226","Wunderlich_1985_Vertical_high","Wunderlich & Dilley (1985)","Vertical high","Wunderlich",1985,4,2,7400,14800,"LHP","Francis",NA,NA,NA,32.9,49.6,"net","US","North America","Elwha dam","Elwha River","42.6",48.0944863804646,-123.556911979984
"227","Wunderlich_1985_Horizontal_low","Wunderlich & Dilley (1985)","Horizontal low","Wunderlich",1985,4,2,7400,14800,"LHP","Francis",NA,NA,NA,32.9,49.6,"net","US","North America","Elwha dam","Elwha River","42.6",48.0944863804646,-123.556911979984
"228","Wunderlich_1985_Horizontal_mid","Wunderlich & Dilley (1985)","Horizontal mid","Wunderlich",1985,4,2,7400,14800,"LHP","Francis",NA,NA,NA,32.9,49.6,"net","US","North America","Elwha dam","Elwha River","42.6",48.0944863804646,-123.556911979984
"229","Wunderlich_1985_Horizontal_high","Wunderlich & Dilley (1985)","Horizontal high","Wunderlich",1985,4,2,7400,14800,"LHP","Francis",NA,NA,NA,32.9,49.6,"net","US","North America","Elwha dam","Elwha River","42.6",48.0944863804646,-123.556911979984
"230","Massey_1967_Portland_General_Electric_No9_1960","Massey (1967)","Portland_General_Electric_No9_1960","Massey",1967,13,1,895,15212,"LHP","Francis",NA,NA,240,13,NA,"net","US","North America","Willamette Falls Portland Electric","Willamette River",NA,45.3540422903082,-122.618986612796
"231","Massey_1967_Crown_Zellerbach_No20_1960","Massey (1967)","Crown_Zellerbach_No20_1960","Massey",1967,16,1,1282,17443,"LHP","Francis",NA,NA,277,12.8,234,"net","US","North America","Willamette Falls Crown Zellerbach","Willamette River",NA,45.3561778186994,-122.615430351904
"232","Massey_1967_Crown_Zellerbach_No21_1960","Massey (1967)","Crown_Zellerbach_No21_1960","Massey",1967,16,1,1562,17443,"LHP","Francis",NA,NA,255,12.5,234,"net","US","North America","Willamette Falls Crown Zellerbach","Willamette River",NA,45.3561778186994,-122.615430351904
"233","Massey_1967_Publishers_Paper_No2_1960","Massey (1967)","Publishers_Paper_No2_1960","Massey",1967,21,1,820,11122,"LHP","Francis",NA,NA,NA,12.6,143,"net","US","North America","Willamette Falls Publishers Paper","Willamette River",NA,45.3553372479927,-122.611922585478
"234","Massey_1967_Crown_Zellerbach_No20_1961","Massey (1967)","Crown_Zellerbach_No20_1961","Massey",1967,16,1,1195,17443,"LHP","Francis",NA,NA,277,11.9,234,"net","US","North America","Willamette Falls Crown Zellerbach","Willamette River",NA,45.3561778186994,-122.615430351904
"235","Massey_1967_Crown_Zellerbach_No21_1961","Massey (1967)","Crown_Zellerbach_No21_1961","Massey",1967,16,1,1890,17443,"LHP","Francis",NA,NA,255,13,234,"net","US","North America","Willamette Falls Crown Zellerbach","Willamette River",NA,45.3561778186994,-122.615430351904
"236","Massey_1967_Publishers_Paper_No2_1961","Massey (1967)","Publishers_Paper_No2_1961","Massey",1967,21,1,820,11122,"LHP","Francis",NA,NA,300,13.3,143,"net","US","North America","Willamette Falls Publishers Paper","Willamette River",NA,45.3553372479927,-122.611922585478
"237","Massey_1967_Portland_General_Electric_No7_1961","Massey (1967)","Portland_General_Electric_No7_1961","Massey",1967,13,1,1193,15212,"LHP","Other",NA,NA,242,13.7,NA,"net","US","North America","Willamette Falls Portland Electric","Willamette River",NA,45.3540422903082,-122.618986612796
"238","Massey_1967_Portland_General_Electric_No8_1961","Massey (1967)","Portland_General_Electric_No8_1961","Massey",1967,13,1,1193,15212,"LHP","Other",NA,NA,242,11.5,NA,"net","US","North America","Willamette Falls Portland Electric","Willamette River",NA,45.3540422903082,-122.618986612796
"239","Lagarrigue_2008_Troussy_Mill_periphery","Lagarrigue et al. (2008)","Troussy Mill periphery","Lagarrigue",2008,1,1,410,410,"vSHP","VLH",4.5,8,40,2.5,20,"net","France","Europe","Troussy Mill","Tarn River","36",44.1143138569599,3.08467104610413
"240","Lagarrigue_2008_Troussy_Mill_hub","Lagarrigue et al. (2008)","Troussy Mill hub","Lagarrigue",2008,1,1,410,410,"vSHP","VLH",4.5,8,40,2.5,20,"net","France","Europe","Troussy Mill","Tarn River","36",44.1143138569599,3.08467104610413
"241","Lagarrigue_2008_Troussy_Mill_midblade","Lagarrigue et al. (2008)","Troussy Mill midblade","Lagarrigue",2008,1,1,410,410,"vSHP","VLH",4.5,8,40,2.5,20,"net","France","Europe","Troussy Mill","Tarn River","36",44.1143138569599,3.08467104610413
"242","Lagarrigue_2011_Frouard_P1","Lagarrigue & Frey (2008)","Frouard P1","Lagarrigue",2011,1,1,400,400,"SHP","VLH",4.5,8,38,2.4,22,"net","France","Europe","Frouard","Moselle river","65",48.7623961465454,6.12150576362743
"243","Lagarrigue_2011_Frouard_P2","Lagarrigue & Frey (2008)","Frouard P2","Lagarrigue",2011,1,1,400,400,"SHP","VLH",4.5,8,38,2.4,22,"net","France","Europe","Frouard","Moselle river","65",48.7623961465454,6.12150576362743
"244","Lagarrigue_2011_Frouard_P3","Lagarrigue & Frey (2008)","Frouard P3","Lagarrigue",2011,1,1,400,400,"SHP","VLH",4.5,8,38,2.4,22,"net","France","Europe","Frouard","Moselle river","65",48.7623961465454,6.12150576362743
"245","Lagarrigue_2011_Frouard_P4","Lagarrigue & Frey (2008)","Frouard P4","Lagarrigue",2011,1,1,400,400,"SHP","VLH",4.5,8,38,2.4,22,"net","France","Europe","Frouard","Moselle river","65",48.7623961465454,6.12150576362743
"246","Normandeau_Associates_2014_McNary_Steelhead","Normandeau Associates (2014)","McNary Steelhead","Normandeau Associates",2014,14,1,70000,980000,"LHP","Kaplan",7.11,6,85.7,22.86,6570,"balloon","US","North America","McNary","Columbia River",NA,45.9358828027699,-119.298012157776
"247","Mathur_1993_Craggy_Dam_13","Mathur et al. (1993)","Craggy Dam 13","Mathur",1993,3,1,700,2100,"SHP","Kaplan",1.75,4,229,6,54,"balloon","US","North America","Craggy Dam","French Broad River",NA,35.6423739646694,-82.5986160016871
"248","Mathur_1993_Craggy_Dam_28","Mathur et al. (1993)","Craggy Dam 28","Mathur",1993,3,1,700,2100,"SHP","Kaplan",1.75,4,229,6,54,"balloon","US","North America","Craggy Dam","French Broad River",NA,35.6423739646694,-82.5986160016871
"249","Rivinoja_2005_Sikfors","Rivinoja (2005)","Sikfors","Rivinoja",2005,2,2,50000,50000,"LHP","Kaplan",3.95,NA,167,20,270,"telemetry","Sweden","Europe","Sikfors","Piteälven","150",65.5345640979647,21.211261128828
