"","study_ID","study","experiment","first_author","year","n_turbines","n_turbines_studied","total_capacity_study_turbines_kW","total_capacity_kW","capacity_class","turbine_type","max_diameter","n_blades","rpm","head","max_flow_rate_HPP","sampling_method","country","global_region","location","waterbody","MQ_waterbody","Lat","Long"
"142","Cramer_1964_Shasta_January_Gate60","Cramer & Oligher (1964)","Shasta January Gate60","Cramer",1964,5,1,75756,379000,"LHP","Francis",4.67,NA,138.5,100.6,NA,"net","US","North America","Shasta lake","Sacramento River",NA,40.718445683143,-122.419045751183
"143","Cramer_1964_Shasta_January_Gate65","Cramer & Oligher (1964)","Shasta January Gate65","Cramer",1964,5,1,75756,379000,"LHP","Francis",4.67,NA,138.5,100.6,NA,"net","US","North America","Shasta lake","Sacramento River",NA,40.718445683143,-122.419045751183
"144","Cramer_1964_Shasta_November_Gate40","Cramer & Oligher (1964)","Shasta November Gate40","Cramer",1964,5,1,75756,379000,"LHP","Francis",4.67,NA,138.5,100.6,NA,"net","US","North America","Shasta lake","Sacramento River",NA,40.718445683143,-122.419045751183
"145","Cramer_1964_Shasta_November_Gate50","Cramer & Oligher (1964)","Shasta November Gate50","Cramer",1964,5,1,75756,379000,"LHP","Francis",4.67,NA,138.5,100.6,NA,"net","US","North America","Shasta lake","Sacramento River",NA,40.718445683143,-122.419045751183
"146","Cramer_1964_Shasta_November_Gate55","Cramer & Oligher (1964)","Shasta November Gate55","Cramer",1964,5,1,75756,379000,"LHP","Francis",4.67,NA,138.5,100.6,NA,"net","US","North America","Shasta lake","Sacramento River",NA,40.718445683143,-122.419045751183
"147","Cramer_1964_Shasta_November_Gate61","Cramer & Oligher (1964)","Shasta November Gate61","Cramer",1964,5,1,75756,379000,"LHP","Francis",4.67,NA,138.5,100.6,NA,"net","US","North America","Shasta lake","Sacramento River",NA,40.718445683143,-122.419045751183
"148","Dainys_2017_Bagdononys","Dainys et al. (2017)","Bagdononys","Dainys",2017,1,1,90,90,"vSHP","Cross-flow",NA,NA,NA,10.9,NA,"other","Lithuania","Europe","Bagdononys","Streva","0.8",54.6222245161192,24.7041124305893
"149","Dainys_2017_Valtunai","Dainys et al. (2017)","Valtunai","Dainys",2017,1,1,170,170,"vSHP","Kaplan",NA,NA,NA,3.8,NA,"other","Lithuania","Europe","Valtunai","Siesartis","5",55.2865476884107,24.9359106667046
"150","Dainys_2017_Kaunas","Dainys et al. (2017)","Kaunas","Dainys",2017,4,4,101000,101000,"LHP","Kaplan",NA,NA,NA,15,760,"telemetry","Lithuania","Europe","Kaunas","Nemunas","375",54.8742272456792,24.0001152818215
"151","Gibson_2002_Annapolis","Gibson & Myers (2002)","Annapolis","Gibson",2002,1,1,17800,17800,"LHP","Kaplan",7.6,4,50,5.5,408,"net","US","North America","Annapolis","Annapolis River","408",44.7533823304258,-65.5128886350638
"152","Kärgenberg_2020_Sillaoru","Kärgenberg et al. (2020)","Sillaoru","Kärgenberg",2020,2,2,527,527,"vSHP","Kaplan",1,4,406.5,8.4,8,"other","Estonia","Europe","Sillaoru","Purtse",NA,59.4023936520514,27.0136490971874
"153","Nyqvist_2017_Edsforsen","Nyqvist et al. (2017)","Edsforsen","Nyqvist",2017,2,2,9000,9000,"SHP","Kaplan",NA,NA,NA,7,190,"telemetry","Sweden","Europe","Edsforsen","Klarälven",NA,60.0652302381236,13.5258109626232
"154","Piper_2018_Flatford_Mill","Piper et al. (2018)","Flatford Mill","Piper",2018,1,1,11,11,"vSHP","Screw",2,NA,NA,NA,NA,"telemetry","Great Britain","Europe","Flatford Mill","River Stour","3.5",51.9586848214402,1.02149779699505
"155","Eyler_2016_Newport","Eyler et al. (2016)","Newport","Eyler",2016,3,3,1400,1400,"SHP","Francis",NA,NA,NA,5.1,21.5,"telemetry","US","North America","Newport","Shenandoah River",NA,38.5713776300053,-78.5933128558045
"156","Eyler_2016_Luray","Eyler et al. (2016)","Luray","Eyler",2016,3,3,1600,1600,"SHP","Francis",NA,NA,NA,6.4,41.8,"telemetry","US","North America","Luray","Shenandoah River",NA,38.6769153618471,-78.4992038296254
